Cedula,Contribuyente,Nombre Inmueble,RIF,Sector,Uso,Cod Catastral,Fecha Liquidacion
1,31625272,Cristhian B,BrachosBros C.A,J-8888888,Boqueron,Comercial,6585-7457-5474-7457,2024-04-19
2,31625272,Cristhian B,BrachosBros C.A,J-8888888,Boqueron,Comercial,6585-7457-5474-7457,2024-04-19
3,31675830,Nelson V,VillalobosInc C.A,J-1234432,La Floresta,Comercial,2341-1242-2314-1242,2024-04-20
4,452365353,Fulano,Intituto Prueba,7367633,La Floresta,Comercial,34543656-J,2024-12-31
5,7546255,Criss,CrisInc BBBBBBBBBBBBB,6546-65465-6544,La Floresta,Comercial,65654-65454-5654,2024-12-12
6,31675810,Pablo,Pablitos Inc,J-8463248,Mangos,Comercial,7898-8879-7898-7878-,2024-10-10
7,12312124,000000,0000000,j-214124214,000000000,adssada,1231-1313-1231-2131,2024-12-12
8,qweewqe,eqwe,qweqw,qweqe,qeqweqwewqe,qwe,qwe,0000-00-00
9,13123213,qwwqe,eqwewqe,qqeqe,qweeq,eqwe,1231-31313-23-3,2024-12-12
10,1231232,qweqeqweqe,qweqweqweqwe,e14123123,qweqweqwe,qweqwweqwe,1231-1231-1231-1321,2024-11-11
11,7546255,Cristian,CrisInc Bracho,6546-65465-6544,La Floresta,Comercial,65654-65454-5654,2024-12-12
12,7546255,Cris,CrisInc BBBBBBBBBBBBB,6546-65465-6544,La Floresta,Comercial,65654-65454-5654,2024-12-12
13,7546255,Cris,CrisInc BBBBBBBBBBBBB,6546-65465-6544,La Floresta,Comercial,65654-65454-5654,2024-12-12
14,8465456,wwwww,wwwwwwww,wwwwwwww,wwwwww,wwwwww,wwww,2024-11-24
15,13123,qqrrqrqrqwr,qqrqwrq,wrqwr,qwrqwr,wqrqrq,wrqwrq,0000-00-00
16,9879879877,987987,987,987,987,97,9887,2024-11-24
17,313123,123,3123,123123,123123,123123,1223123,2024-11-24
